dataset,budget_level,method,baseline_score,hpo_score,hpo_std,improvement_pct,beats_baseline
adult,high,hyperband,0.7772592830550891,0.7836968507288841,0.0014844740863275447,0.8282394066097925,True
adult,high,random_search,0.7772592830550891,0.7850038895083549,0.0016028079060909528,0.9963993511695239,True
adult,high,sha,0.7772592830550891,0.7813424738050052,0.001615990938579982,0.5253318730227045,True
adult,low,hyperband,0.7772592830550891,0.781830649361508,0.0011954136945808188,0.5881391713265606,True
adult,low,random_search,0.7772592830550891,0.7820706088146692,0.0024018132265424437,0.6190116817477869,True
adult,low,sha,0.7772592830550891,0.7813424738050052,0.001615990938579982,0.5253318730227045,True
adult,medium,hyperband,0.7772592830550891,0.7832523803429121,0.001275806632821318,0.771055093001479,True
adult,medium,random_search,0.7772592830550891,0.7839649405703313,0.0019788069331983914,0.8627310939130904,True
adult,medium,sha,0.7772592830550891,0.7813424738050052,0.001615990938579982,0.5253318730227045,True
adult,very_low,hyperband,0.7772592830550891,0.7804712557564165,0.0022056040835130505,0.4132434017002015,True
adult,very_low,random_search,0.7772592830550891,0.7813932588640023,0.0025077231400936124,0.5318657363170125,True
adult,very_low,sha,0.7772592830550891,0.7808952892014991,0.0014857153974499266,0.46779835579684087,True
fashion_mnist,high,hyperband,0.8863318025592376,0.8879736953162544,0.001335210973465059,0.18524583595848412,True
fashion_mnist,high,random_search,0.8863318025592376,0.8872869926072507,0.0013406254506459006,0.10776890158460764,True
fashion_mnist,high,sha,0.8863318025592376,0.8865368913717017,0.0020474072377547007,0.023139056036562942,True
fashion_mnist,low,hyperband,0.8863318025592376,0.8585677734917118,0.001845273891228041,-3.1324645000166567,False
fashion_mnist,low,random_search,0.8863318025592376,0.8851164468392512,0.0016641402401247807,-0.13712198033255216,False
fashion_mnist,low,sha,0.8863318025592376,0.8801535133866402,0.0021828692949652684,-0.6970627878586717,False
fashion_mnist,medium,hyperband,0.8863318025592376,0.8849192789672825,0.001540966912207392,-0.15936735970395122,False
fashion_mnist,medium,random_search,0.8863318025592376,0.885794383147056,0.0010527291463059828,-0.06063411135985182,False
fashion_mnist,medium,sha,0.8863318025592376,0.8860266707910274,0.0019041777430975038,-0.034426358992104236,False
fashion_mnist,very_low,hyperband,0.8863318025592376,0.8582210817930364,0.002361094197645218,-3.1715798400816695,False
fashion_mnist,very_low,random_search,0.8863318025592376,0.8836242342627327,0.0022136799330961356,-0.30548021504891343,False
fashion_mnist,very_low,sha,0.8863318025592376,0.8718454693651989,0.0023700615994374534,-1.6344142399279986,False
letter,high,hyperband,0.9401245993856847,0.9598977742705838,0.0022198306380833022,2.103250451888998,True
letter,high,random_search,0.9401245993856847,0.959509932754352,0.0022571811207779562,2.061996184477513,True
letter,high,sha,0.9401245993856847,0.9542570504046426,0.004487545714243129,1.5032529760621725,True
letter,low,hyperband,0.9401245993856847,0.9583002043794803,0.0037426176070899215,1.9333187330351986,True
letter,low,random_search,0.9401245993856847,0.9559998750346648,0.0029066388074268767,1.6886352787017382,True
letter,low,sha,0.9401245993856847,0.9542570504046426,0.004487545714243129,1.5032529760621725,True
letter,medium,hyperband,0.9401245993856847,0.9598977742705838,0.0022198306380833022,2.103250451888998,True
letter,medium,random_search,0.9401245993856847,0.9568970257156257,0.003433537539877759,1.7840641911615551,True
letter,medium,sha,0.9401245993856847,0.9542570504046426,0.004487545714243129,1.5032529760621725,True
letter,very_low,hyperband,0.9401245993856847,0.9543920987047633,0.0037885908072168403,1.5176179123917741,True
letter,very_low,random_search,0.9401245993856847,0.9551357468952736,0.004315262749815907,1.5967189369789667,True
letter,very_low,sha,0.9401245993856847,0.9542570504046426,0.004487545714243129,1.5032529760621725,True
mnist,high,hyperband,0.9718521675027292,0.9718034874314615,0.0009662550119653422,-0.00500899960873369,False
mnist,high,random_search,0.9718521675027292,0.970920183677036,0.0010211095962391525,-0.09589769481998227,False
mnist,high,sha,0.9718521675027292,0.9714090827390853,0.0012353577396662068,-0.045591786329231866,False
mnist,low,hyperband,0.9718521675027292,0.949521238055709,0.002043044734897512,-2.297770195275866,False
mnist,low,random_search,0.9718521675027292,0.9682952721186722,0.002458895765610364,-0.36599140311605305,False
mnist,low,sha,0.9718521675027292,0.9625881472279794,0.0013727091920259231,-0.9532334839108956,False
mnist,medium,hyperband,0.9718521675027292,0.9671233787078204,0.000987218955344158,-0.48657490851308,False
mnist,medium,random_search,0.9718521675027292,0.9690559064669426,0.0024677680269538384,-0.28772493690803136,False
mnist,medium,sha,0.9718521675027292,0.9701856492111268,0.0020440607855092903,-0.1714785794926654,False
mnist,very_low,hyperband,0.9718521675027292,0.9493101994379851,0.002297692105979209,-2.3194852898942333,False
mnist,very_low,random_search,0.9718521675027292,0.9675769981079293,0.002679764874870258,-0.4398991469850148,False
mnist,very_low,sha,0.9718521675027292,0.9607066595796153,0.0013220984220413512,-1.1468316165568013,False
