feature,importance
budget_seconds,0.39954151156676665
class_prob_min,0.07088441838128477
skewness_std,0.040729580183191255
correlation_min,0.03819445748935644
skewness_mean,0.03513226685289623
skewness_max,0.031442291521595105
correlation_mean,0.025366573763016716
kurtosis_std,0.02196882035230135
correlation_max,0.02030855017999993
kurtosis_max,0.019528560861302835
pca_first_pc_variance,0.018921255696619024
skewness_min,0.018444517226521916
class_prob_max,0.017091431403875628
kurtosis_mean,0.016954475287759164
n_features,0.015738483125354568
correlation_std,0.015352693266890446
n_classes,0.015208288966076277
normalized_class_entropy,0.01507370797446698
pca_95_percent_ratio,0.014837619223683849
pca_95_percent_dims,0.014166943643267637
nb_time,0.013128747573474518
class_imbalance_ratio,0.013074676482374358
n_instances,0.011651755732329187
tree_n_leaves,0.011588418373785896
dimensionality,0.009985888505102356
log_n_instances,0.009853537453315278
log_n_features,0.009848069282222439
nn_time,0.009779692747516262
class_entropy,0.009717847448458324
tree_time,0.009261947461632626
kurtosis_min,0.007551505754120215
class_prob_std,0.007345414979009016
log_dimensionality,0.0072666194520928885
class_prob_mean,0.005059431788339952
tree_depth,0.0
