dataset,budget_name,budget_seconds,method,run_id,seed,best_score,configs_evaluated,total_time,timestamp
bank,very_low,60,random_search,0,0,0.902565804025658,18,63.39111614227295,2026-01-15 20:41:50
bank,very_low,60,random_search,1,1,0.902565804025658,16,65.43817973136902,2026-01-15 20:42:55
bank,very_low,60,random_search,2,2,0.902565804025658,15,60.11405801773071,2026-01-15 20:43:55
bank,very_low,60,random_search,3,3,0.902565804025658,11,61.9279580116272,2026-01-15 20:44:57
bank,very_low,60,random_search,4,4,0.902565804025658,13,60.6010377407074,2026-01-15 20:45:58
bank,very_low,60,random_search,5,5,0.902565804025658,13,62.07855939865112,2026-01-15 20:47:00
bank,very_low,60,random_search,6,6,0.902565804025658,13,66.45139002799988,2026-01-15 20:48:07
bank,very_low,60,random_search,7,7,0.902565804025658,13,63.44786882400513,2026-01-15 20:49:10
bank,very_low,60,random_search,8,8,0.902344614023446,12,61.423004150390625,2026-01-15 20:50:11
bank,very_low,60,random_search,9,9,0.902344614023446,11,60.19109606742859,2026-01-15 20:51:12
bank,very_low,60,sha,0,0,0.902565804025658,17,67.62645196914673,2026-01-15 20:52:19
bank,very_low,60,sha,1,1,0.902565804025658,15,60.32261514663696,2026-01-15 20:53:20
bank,very_low,60,sha,2,2,0.902565804025658,12,66.67861676216125,2026-01-15 20:54:26
bank,very_low,60,sha,3,3,0.902565804025658,14,65.67106103897095,2026-01-15 20:55:32
bank,very_low,60,sha,4,4,0.902565804025658,13,62.21925497055054,2026-01-15 20:56:34
bank,very_low,60,sha,5,5,0.902565804025658,13,60.219037771224976,2026-01-15 20:57:34
bank,very_low,60,sha,6,6,0.902565804025658,13,66.34897685050964,2026-01-15 20:58:41
bank,very_low,60,sha,7,7,0.902565804025658,13,63.591877698898315,2026-01-15 20:59:44
bank,very_low,60,sha,8,8,0.902344614023446,12,61.591222047805786,2026-01-15 21:00:46
bank,very_low,60,sha,9,9,0.902344614023446,12,65.16923475265503,2026-01-15 21:01:51
bank,very_low,60,hyperband,0,0,0.9045565140455651,243,19881.581907987595,2026-01-16 04:14:43
bank,very_low,60,hyperband,1,1,0.9045565140455651,243,13629.36022400856,2026-01-16 08:01:52
bank,very_low,60,hyperband,2,2,0.9045565140455651,243,14560.549847126007,2026-01-16 12:04:33
bank,very_low,60,hyperband,3,3,0.9045565140455651,243,14957.625749588013,2026-01-16 16:13:50
bank,very_low,60,hyperband,4,4,0.9045565140455651,243,53511.09496188164,2026-01-17 07:05:41
bank,very_low,60,hyperband,5,5,0.9045565140455651,243,17827.034787893295,2026-01-17 12:02:49
bank,very_low,60,hyperband,6,6,0.9045565140455651,243,1524.3859148025513,2026-01-17 12:28:13
bank,very_low,60,hyperband,7,7,0.9045565140455651,243,8893.446790933609,2026-01-17 14:56:26
bank,very_low,60,hyperband,8,8,0.9045565140455651,243,1229.3281490802765,2026-01-17 15:16:56
bank,very_low,60,hyperband,9,9,0.9045565140455651,243,1161.9888858795166,2026-01-17 15:36:18
bank,low,120,random_search,0,0,0.902565804025658,24,121.64247488975525,2026-01-17 15:38:19
bank,low,120,random_search,1,1,0.902565804025658,23,122.09810519218445,2026-01-17 15:40:21
bank,low,120,random_search,2,2,0.902565804025658,23,135.74079394340515,2026-01-17 15:42:37
bank,low,120,random_search,3,3,0.902565804025658,22,132.3455970287323,2026-01-17 15:44:50
bank,low,120,random_search,4,4,0.902565804025658,21,132.78582406044006,2026-01-17 15:47:02
bank,low,120,random_search,5,5,0.902565804025658,20,133.79153084754944,2026-01-17 15:49:16
bank,low,120,random_search,6,6,0.902565804025658,19,120.93928599357605,2026-01-17 15:51:17
bank,low,120,random_search,7,7,0.902565804025658,22,121.13204407691956,2026-01-17 15:53:18
bank,low,120,random_search,8,8,0.9023446140234461,22,121.5477499961853,2026-01-17 15:55:20
bank,low,120,random_search,9,9,0.9023446140234461,20,122.89872407913208,2026-01-17 15:57:23
bank,low,120,sha,0,0,0.902565804025658,25,126.67742490768433,2026-01-17 15:59:29
bank,low,120,sha,1,1,0.902565804025658,24,123.51956391334534,2026-01-17 16:01:33
bank,low,120,sha,2,2,0.902565804025658,23,131.9240517616272,2026-01-17 16:03:45
bank,low,120,sha,3,3,0.902565804025658,22,123.23365187644958,2026-01-17 16:05:48
bank,low,120,sha,4,4,0.902565804025658,22,120.37687110900879,2026-01-17 16:07:48
bank,low,120,sha,5,5,0.902565804025658,24,121.75946712493896,2026-01-17 16:09:50
bank,low,120,sha,6,6,0.902565804025658,13,121.26076292991638,2026-01-17 16:11:51
bank,low,120,sha,7,7,0.902565804025658,11,122.50785303115845,2026-01-17 16:13:54
bank,low,120,sha,8,8,0.9023446140234461,11,123.10741090774536,2026-01-17 16:15:57
bank,low,120,sha,9,9,0.9023446140234461,10,123.7730598449707,2026-01-17 16:18:01
