run,seed,method,best_score,configs_evaluated,time
1,0,sha,0.881875726343781,40,130.18597507476807
2,1,sha,0.8700452309853445,40,84.00730276107788
3,2,sha,0.8727223106445635,40,95.5954818725586
4,3,sha,0.8663784038029205,40,90.61485195159912
5,4,sha,0.8647453916700513,40,93.91721081733704
6,5,sha,0.8653261289690156,40,114.12903094291687
7,6,sha,0.8732129632479406,40,89.46122097969055
8,7,sha,0.8734209764194736,40,122.77617001533508
9,8,sha,0.8777487390737848,40,128.89218497276306
10,9,sha,0.8811938954928967,40,95.58071303367615
