feature,f_score,p_value,significant
correlation_std,9.36315363897749,0.0005124092799351177,True
pca_first_pc_variance,9.360138894852515,0.0005134360357029541,True
nn_time,9.021770438589389,0.0006436713317118593,True
pymfe_sparsity.mean,6.785662062199194,0.003086753021165659,True
log_n_instances,5.514458494879851,0.008015492464749332,True
pymfe_nr_cor_attr,5.359324759785041,0.009036520259700306,True
pymfe_sparsity.sd,3.7583480287229123,0.03266312962697752,True
pymfe_min.sd,3.6518117967862627,0.035694869268567915,True
pca_95_percent_dims,3.6174406112251116,0.03673515564066502,True
pymfe_freq_class.sd,3.5058450821724736,0.040338804863771525,True
skewness_max,3.4927507269960043,0.040785450791045265,True
n_instances,3.4700409369347476,0.041572481791708624,True
class_prob_min,3.3612749479817157,0.04557015203495029,True
normalized_class_entropy,3.3017040873813635,0.0479296019660128,True
pymfe_nr_bin,3.1403807220785054,0.054989070545700874,False
correlation_max,3.0606087575812557,0.058877332609042765,False
skewness_std,2.9420416930373454,0.06520087992346528,False
pymfe_cor.mean,2.9313575809772585,0.06580484168089513,False
kurtosis_max,2.919419068673981,0.06648669580447689,False
kurtosis_std,2.8269677328363043,0.07202585225500739,False
class_prob_std,2.7946132085062096,0.07407752927740599,False
pymfe_sd_ratio,2.72950819672061,0.07839497165734755,False
pymfe_cor.sd,2.5667958557238877,0.09038679128974768,False
pymfe_inst_to_attr,2.510583686954345,0.0949667992706565,False
pca_95_percent_ratio,2.3462097845780754,0.10981851137251511,False
skewness_mean,2.3157802917325214,0.11282675878753287,False
pymfe_roy_root,2.2781147300017324,0.11667112510524312,False
pymfe_can_cor.sd,2.1956282321924117,0.1255806165943986,False
kurtosis_mean,2.1258933194602174,0.13367210362690107,False
pymfe_g_mean.sd,2.0675093378068388,0.140869011518379,False
pymfe_h_mean.sd,2.0674793574693378,0.140872810333712,False
pymfe_g_mean.mean,2.0674587130976354,0.14087542624948862,False
pymfe_h_mean.mean,2.0674178450210428,0.1408806049279835,False
pymfe_eigenvalues.mean,2.0648809344245667,0.141202467699599,False
pymfe_var.mean,2.064880934424566,0.141202467699599,False
pymfe_var.sd,2.0645363332065547,0.14124624768179025,False
pymfe_eigenvalues.sd,2.0645017641954233,0.14125064030346482,False
pymfe_cov.mean,2.0421142003476924,0.14412585572224842,False
pymfe_median.mean,2.0338551710531134,0.14520207626933665,False
pymfe_t_mean.mean,2.030393060139415,0.1456557349331647,False
pymfe_mad.mean,2.0266163420098002,0.14615232251028562,False
pymfe_iq_range.mean,2.0200385114275656,0.14702148412863864,False
pymfe_mean.mean,2.0163611000757236,0.14750977171440352,False
pymfe_median.sd,2.01353569205865,0.1478860911522519,False
pymfe_t_mean.sd,2.010037117895534,0.14835347320638248,False
pymfe_range.mean,1.999960530649534,0.1497083469300602,False
pymfe_mad.sd,1.9999407170233845,0.14971102383392879,False
pymfe_mean.sd,1.997104180961707,0.15009477284845874,False
pymfe_iq_range.sd,1.9890830764165535,0.15118555309838053,False
pymfe_sd.mean,1.9756939780672336,0.15302497531499448,False
pymfe_cov.sd,1.9562198149586012,0.15574259689032263,False
pymfe_sd.sd,1.9250510189093744,0.160198594034075,False
pymfe_max.mean,1.9145369463281323,0.1617318693632499,False
pymfe_skewness.mean,1.8825370089933318,0.16649436664973816,False
pymfe_range.sd,1.8694904122332836,0.16847828611013305,False
pymfe_max.sd,1.8310722288388999,0.1744663740997167,False
tree_depth,1.7652671755725227,0.1852502487600249,False
pymfe_lh_trace,1.710014334842965,0.19484733790435071,False
kurtosis_min,1.5942230904980919,0.21670025040456922,False
log_n_features,1.589418968839705,0.2176609480919867,False
pymfe_kurtosis.mean,1.5777329106872053,0.22001664201811663,False
class_imbalance_ratio,1.5006524435471411,0.2362435492773784,False
dimensionality,1.4598680901000718,0.24533535555636246,False
pymfe_gravity,1.396780271506252,0.26013279291961316,False
pymfe_kurtosis.sd,1.375501841678022,0.26533348940076024,False
pymfe_nr_num,1.3580342829331082,0.26968465575682404,False
pymfe_nr_attr,1.3580342829331082,0.26968465575682404,False
n_features,1.3580342829331082,0.26968465575682404,False
pymfe_attr_to_inst,1.358034282933108,0.26968465575682404,False
correlation_mean,1.336578488156564,0.2751324546979235,False
budget_seconds,1.329687500000003,0.27690664524226744,False
pymfe_nr_outliers,1.2935130546572524,0.28642021135147555,False
log_dimensionality,1.1760826070414676,0.31975120297199205,False
class_prob_max,1.1603206759230114,0.3245270681578216,False
tree_time,1.1513922625388664,0.3272656834484811,False
skewness_min,1.0896225135815294,0.3468923556713355,False
pymfe_freq_class.mean,1.0600127923489158,0.3567368618036552,False
pymfe_skewness.sd,1.001172684942303,0.37718421260223,False
class_prob_mean,0.9707590873991393,0.3882340612983525,False
nb_time,0.8059622323883018,0.45434432584470275,False
tree_n_leaves,0.7002685259174505,0.5029118601002063,False
pymfe_p_trace,0.655246650687881,0.5252349633538586,False
pymfe_w_lambda,0.6423186060936905,0.5318363024698622,False
pymfe_nr_norm,0.6143673291863554,0.5464095881119113,False
class_entropy,0.4156014666905636,0.6629856109215133,False
pymfe_can_cor.mean,0.3213100064292451,0.7272015347145262,False
correlation_min,0.2756772833908565,0.7606032093030719,False
n_classes,0.12538937384287285,0.8825265974213944,False
pymfe_nr_class,0.12538937384287285,0.8825265974213944,False
pymfe_min.mean,0.0932508228727633,0.9111783834431252,False
pymfe_nr_disc,0.03389868016890305,0.966699428455427,False
pymfe_cat_to_num,,,False
pymfe_nr_cat,,,False
pymfe_nr_inst,,,False
