feature,mi_score
pymfe_min.mean,0.4934131709010692
kurtosis_min,0.48717233555135375
nn_time,0.443482827009712
normalized_class_entropy,0.4304978792956684
pymfe_skewness.mean,0.4216898799143982
correlation_mean,0.40856258409987767
pymfe_sd.sd,0.40784442562436607
pymfe_sd_ratio,0.4024077353639597
pymfe_can_cor.mean,0.39618453744943194
pymfe_mad.sd,0.39288369701474024
pymfe_mad.mean,0.3925759827755746
skewness_min,0.3892702509219421
correlation_std,0.3854109161385071
pymfe_iq_range.sd,0.38519908509347656
pymfe_nr_num,0.38488186663655233
class_prob_min,0.3820141824435537
log_n_features,0.3766510072135021
pymfe_mean.mean,0.35591905534184454
pymfe_range.mean,0.3500561017170907
pca_95_percent_dims,0.3467077661445075
pymfe_iq_range.mean,0.34175066226275397
pymfe_t_mean.sd,0.34174259852989186
pymfe_range.sd,0.33861025912600073
pymfe_min.sd,0.3375494133444872
pymfe_median.sd,0.33437371741101085
kurtosis_std,0.3331665282660463
pca_first_pc_variance,0.329677637880027
pymfe_mean.sd,0.32887012079211253
pca_95_percent_ratio,0.3281866883461728
pymfe_sparsity.mean,0.3238219912390752
pymfe_cor.sd,0.3220695049454274
pymfe_roy_root,0.31729773904531844
pymfe_nr_cor_attr,0.31031130976369914
pymfe_gravity,0.3097711472159421
tree_time,0.3076309279996108
pymfe_eigenvalues.mean,0.3040812156962489
pymfe_attr_to_inst,0.3020169990162498
correlation_max,0.3018639138983983
pymfe_eigenvalues.sd,0.3010646244443631
pymfe_var.sd,0.3008039681947099
pymfe_var.mean,0.30032933032671627
pymfe_sd.mean,0.2996266231074649
class_prob_std,0.29850877751351645
kurtosis_max,0.2982871714507376
skewness_mean,0.2971839852784375
nb_time,0.2968662718946644
pymfe_freq_class.sd,0.29496940848464304
pymfe_cov.sd,0.2921596078922879
skewness_std,0.29054339801285
pymfe_nr_attr,0.28920069233037804
pymfe_t_mean.mean,0.2874357392014808
pymfe_max.mean,0.28335149198858356
pymfe_max.sd,0.2828643607545953
pymfe_median.mean,0.2782183022266911
pymfe_kurtosis.sd,0.2722355641042469
pymfe_cor.mean,0.2721936067423232
n_features,0.2671471209018066
pymfe_sparsity.sd,0.2647594771781978
correlation_min,0.2588993942081861
class_prob_max,0.2583909339250581
pymfe_lh_trace,0.2581769989096787
log_dimensionality,0.2549717100464952
kurtosis_mean,0.24906585341030585
skewness_max,0.24075672605845
pymfe_kurtosis.mean,0.23954211831824734
tree_n_leaves,0.2335904522615464
pymfe_can_cor.sd,0.2278411054653564
pymfe_inst_to_attr,0.2243007454487871
pymfe_w_lambda,0.2239740115816915
pymfe_nr_outliers,0.21920059547797344
pymfe_p_trace,0.21659379045147054
pymfe_cov.mean,0.21582570894809483
dimensionality,0.2156083650581504
class_entropy,0.2145419070644945
pymfe_skewness.sd,0.202604672120414
class_imbalance_ratio,0.16078931494920967
pymfe_nr_norm,0.14425302142974528
log_n_instances,0.13572031864371148
n_instances,0.11500360162228462
pymfe_h_mean.sd,0.10728474367556551
class_prob_mean,0.1054847876145264
tree_depth,0.10400815150553733
pymfe_nr_class,0.060810251946296745
pymfe_h_mean.mean,0.04127010191635838
pymfe_nr_bin,0.029325167217413295
pymfe_g_mean.mean,0.025482284965882673
pymfe_g_mean.sd,0.011343455821046788
pymfe_nr_inst,0.0037987534754777563
pymfe_nr_disc,0.00045416789645358335
pymfe_nr_cat,0.0
pymfe_freq_class.mean,0.0
pymfe_cat_to_num,0.0
n_classes,0.0
budget_seconds,0.0
